protocol,train_mode,test_mode,outer_fold,metrics_path,accuracy,precision,recall,specificity,f1,roc_auc,n_rows,threshold,tn,fp,fn,tp
patient,balanced_50_50,unbalanced_20_80,outer_fold_007,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_007/unbalanced_20_80/metrics.json,0.7874105865522174,0.47880539499036606,0.7110157367668097,0.8065092989985694,0.5722510074841681,0.8440392114993169,10485,0.3918101489543915,6765,1623,606,1491
patient,balanced_50_50,balanced_50_50,outer_fold_008,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_008/balanced_50_50/metrics.json,0.6222426470588235,0.5702959830866807,0.9917279411764706,0.25275735294117646,0.7241610738255033,0.9839089997499458,4352,0.49001654982566833,550,1626,18,2158
patient,balanced_50_50,unbalanced_20_80,outer_fold_008,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_008/unbalanced_20_80/metrics.json,0.40670955882352944,0.2510762070971495,0.9917279411764706,0.2604549632352941,0.40070559836598274,0.9841496028702151,10880,0.49001654982566833,2267,6437,18,2158
patient,balanced_50_50,balanced_50_50,outer_fold_009,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_009/balanced_50_50/metrics.json,0.9227272727272727,0.9441791044776119,0.8985795454545454,0.946875,0.9208151382823871,0.9702798134039254,7040,0.9292715787887573,3333,187,357,3163
patient,balanced_50_50,unbalanced_20_80,outer_fold_009,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_009/unbalanced_20_80/metrics.json,0.9382954545454546,0.8126927029804728,0.8985795454545454,0.9482244318181818,0.8534808418780356,0.9706430078932077,17600,0.9292715787887573,13351,729,357,3163
patient,balanced_50_50,balanced_50_50,outer_fold_010,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_010/balanced_50_50/metrics.json,0.9388092613009923,0.9767609008145663,0.8990077177508269,0.9786108048511577,0.9362728212194281,0.9778144992578852,9070,0.885786771774292,4438,97,458,4077
patient,balanced_50_50,unbalanced_20_80,outer_fold_010,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_010/unbalanced_20_80/metrics.json,0.9620476610767873,0.9127697841726619,0.8958517210944396,0.9785966460723742,0.9042316258351893,0.9787448517514755,5665,0.885786771774292,4435,97,118,1015
patient,balanced_50_50,balanced_50_50,outer_fold_011,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_011/balanced_50_50/metrics.json,0.5306003118503119,0.7000849617672048,0.10706860706860707,0.9541320166320166,0.18573199594274767,0.5952378922306483,15392,0.6880563497543335,7343,353,6872,824
patient,balanced_50_50,unbalanced_20_80,outer_fold_011,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_011/unbalanced_20_80/metrics.json,0.7839126117179742,0.367430441898527,0.11146971201588877,0.9520233366434955,0.17104761904761903,0.5962181145215862,20140,0.6880563497543335,15339,773,3579,449
patient,balanced_50_50,balanced_50_50,outer_fold_012,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_012/balanced_50_50/metrics.json,0.5420058139534883,0.7061340941512125,0.1438953488372093,0.9401162790697675,0.23907268775658055,0.46780058477555436,6880,0.7417142987251282,3234,206,2945,495
patient,balanced_50_50,unbalanced_20_80,outer_fold_012,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_012/unbalanced_20_80/metrics.json,0.785,0.39663461538461536,0.1438953488372093,0.9452761627906977,0.21117747440273038,0.4725205241853705,17200,0.7417142987251282,13007,753,2945,495
patient,balanced_50_50,balanced_50_50,outer_fold_013,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_013/balanced_50_50/metrics.json,0.4173136645962733,0.22900763358778625,0.06987577639751552,0.764751552795031,0.1070791195716835,0.2672477190309016,2576,0.39663952589035034,985,303,1198,90
patient,balanced_50_50,unbalanced_20_80,outer_fold_013,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_013/unbalanced_20_80/metrics.json,0.6394409937888199,0.07413509060955518,0.06987577639751552,0.781832298136646,0.07194244604316546,0.27414397351568226,6440,0.39663952589035034,4028,1124,1198,90
patient,balanced_50_50,balanced_50_50,outer_fold_014,/export/hhome/ricse03/Deep_Learning_Group 3/homework_wenqi/fold6_evaluation/patient/balanced_50_50/outer_fold_014/balanced_50_50/metrics.json,0.5736561866125761,0.9789777411376752,0.15054513184584178,0.9967672413793104,0.2609603340292276,0.7822959808901704,31552,0.7192215323448181,15725,51,13401,2375
